5,+1.132311e+006,+4.788732e-001,+2.940252e-001
10,+2.745301e+006,+4.216535e-001,+2.247098e-001
20,+5.697631e+006,+2.541283e-001,+1.758036e-001
30,+7.228385e+006,+1.973507e-001,+1.863852e-001
50,+1.853926e+007,+1.489487e-001,+1.019070e-001
75,+1.840692e+007,+1.135750e-001,+1.355908e-001
75,+1.655821e+007,+1.148467e-001,+1.556690e-001
100,+2.058722e+007,+9.391155e-002,+1.438376e-001
250,+5.397923e+007,+4.318445e-002,+8.769240e-002
500,+9.022476e+007,+2.049126e-002,+6.082091e-002
1000,+1.428768e+008,+9.129802e-003,+4.011691e-002
